svg,id,title,link,not_modal
cinms_pelagic.svg,bienvenidos,Bienvenida,modals/0_GeocomputacionR.html,
cinms_pelagic.svg,geocomputacion,Geocomputación,modals/1_GeocomputacionR.html,
